ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility 11 kV,,11 kV,,,
MVB,MV Busbar,11 kV main board,1250 A,11 kV,"CB, CB","U, SU",
G1,Generator,Genset 1,1250 kVA,400 V,CB,,
G2,Generator,Genset 2,1250 kVA,400 V,CB,,
GB,LV Busbar,Generator board,4000 A,400 V,"CB, CB","G1, G2",
FG,Feeder,Genset auxiliaries,63 A,400 V,MCB,GB,
SU,Transformer,Step-up tx,2500 kVA,0.4/11 kV,CB,GB,step-up
TXR,Transformer,Gas engine step-up,2000 kVA,11/0.69 kV,CB,MVB,reverse column
G3,Generator,Gas engine,1.8 MW,690 V,CB,TXR,
TX1,Transformer,Site tx,1000 kVA,11/0.4 kV,CB,MVB,
LVB,LV Busbar,Site MSB,1600 A,400 V,CB,TX1,
F1,Feeder,Process,400 A,400 V,CB,LVB,
F2,Feeder,Buildings,250 A,400 V,CB,LVB,
FO,Feeder,Export cable to grid B,630 A,11 kV,CB,MVB,
