ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC,MV Incomer,Utility 11 kV,,11 kV,,,
RMU,RMU,3-way RMU,630 A,11 kV,LBS,INC,
TX1,Transformer,Main tx,1000 kVA,11/0.4 kV,Fuse-switch,RMU,
MSB,LV Busbar,Main board,1600 A,400 V,CB,TX1,
F1,Feeder,Lighting,100 A,400 V,CB,MSB,
PX,Pump,Pump named on the tx,55 kW,400 V,CB,TX1,
MCCX,MCC,MCC named on the tx,400 A,400 V,CB,TX1,
PX1,Pump,Pump under MCCX,22 kW,400 V,,MCCX,
FD,Feeder,DB feeder,250 A,400 V,MCCB,MSB,
MCCF,MCC,MCC on a feeder,160 A,400 V,CB,FD,
PF1,Pump,Pump under MCCF,15 kW,400 V,,MCCF,
MCCR,MCC,MCC on the RMU,400 A,400 V,CB,RMU,
PR1,Pump,Pump under MCCR,30 kW,400 V,,MCCR,
PI,Pump,Pump on the incomer,200 kW,11 kV,CB,INC,
P3,Pump,Board pump,30 kW,400 V,CB,MSB,
FP,Feeder,Feeder off a pump,32 A,400 V,MCB,P3,
