ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
A.U1,MV Incomer,Utility incomer A,,11 kV,,,Overhead line from GSS
A.U2,MV Incomer,Utility incomer B,,11 kV,,,Cable from GSS
A.MVB1,MV Busbar,11 kV switchboard sec A,1250 A,11 kV,CB,A.U1,
A.MVB2,MV Busbar,11 kV switchboard sec B,1250 A,11 kV,CB,A.U2,
A.TIE,Bus Coupler,11 kV bus section,1250 A,11 kV,CB,"A.MVB1, A.MVB2",Normally open
A.CAP,Capacitor Bank,PFC bank sec A,1.5 Mvar,11 kV,CB,A.MVB1,
A.NER,Earthing/NER,Neutral earthing resistor,300 A 10 s,11 kV,,A.MVB2,
A.TX1,Transformer,"Intake tx, Dyn11",1600 kVA,11/0.4 kV,CB,A.MVB1,
A.TX2,Transformer,"Filter tx, Dyn11",1600 kVA,11/0.4 kV,CB,A.MVB1,
A.TX3,Transformer,"Chemical tx, Dyn11",1000 kVA,11/0.4 kV,CB,A.MVB1,
A.TX4,Transformer,"HL pump tx, Dyn11",2000 kVA,11/0.4 kV,CB,A.MVB2,
A.TX5,Transformer,"Sludge tx, Dyn11",1000 kVA,11/0.4 kV,CB,A.MVB2,
A.TX6,Transformer,"Admin tx, Dyn11",630 kVA,11/0.4 kV,CB,A.MVB2,
A.LVB1,LV Busbar,Intake MSB,2500 A,400 V,CB,A.TX1,
A.LVB2,LV Busbar,Filter MSB,2500 A,400 V,CB,A.TX2,
A.LVB3,LV Busbar,Chemical MSB,1600 A,400 V,CB,A.TX3,
A.LVB4,LV Busbar,HL pump MSB,3200 A,400 V,CB,A.TX4,
A.LVB5,LV Busbar,Sludge MSB,1600 A,400 V,CB,A.TX5,
A.LVB6,LV Busbar,Admin MSB,1000 A,400 V,CB,A.TX6,
A.LT12,Bus Coupler,Intake-Filter tie,2500 A,400 V,CB,"A.LVB1, A.LVB2",Normally open
A.MCC1,MCC,Intake pump MCC,800 A,400 V,CB,A.LVB1,
A.P1,Pump,Raw water pump 1,132 kW,400 V,,A.MCC1,VSD
A.P2,Pump,Raw water pump 2,132 kW,400 V,,A.MCC1,
A.P3,Pump,Raw water pump 3,132 kW,400 V,,A.MCC1,Spare - motor removed
A.F1,Feeder,Intake lighting,100 A,400 V,MCCB,A.LVB1,
A.F2,Feeder,Filter gallery DB,250 A,400 V,MCCB,A.LVB2,
A.DB2,LV Busbar,Filter gallery DB,250 A,400 V,MCCB,A.F2,
A.F21,Feeder,Backwash valves,63 A,400 V,MCB,A.DB2,
A.F22,Feeder,Gallery lighting,32 A,400 V,MCB,A.DB2,
A.MCC2,MCC,Backwash MCC,630 A,400 V,CB,A.LVB2,
A.P4,Pump,Backwash pump 1,90 kW,400 V,,A.MCC2,
A.P5,Pump,Backwash pump 2,90 kW,400 V,,A.MCC2,VFD
A.MCC3,MCC,Dosing MCC,250 A,400 V,CB,A.LVB3,Small dosing motors
A.P6,Pump,Lime slurry pump,7.5 kW,400 V,Fused contactor,A.MCC3,
A.F3,Feeder,Chemical building DB,160 A,400 V,MCCB,A.LVB3,
A.MCC4,MCC,HL pump MCC,1600 A,400 V,CB,A.LVB4,
A.P7,Pump,High lift pump 1,355 kW,400 V,,A.MCC4,VSD
A.P8,Pump,High lift pump 2,355 kW,400 V,,A.MCC4,VSD
A.P9,Pump,High lift pump 3,355 kW,400 V,,A.MCC4,Spare
A.F4,Feeder,HL station services,160 A,400 V,MCCB,A.LVB4,
A.MCC5,MCC,Sludge MCC,400 A,400 V,CB,A.LVB5,
A.P10,Pump,Sludge pump 1,45 kW,400 V,,A.MCC5,
A.P11,Pump,Sludge pump 2,45 kW,400 V,,A.MCC5,Spare
A.F5,Feeder,Thickener building,250 A,400 V,MCCB,A.LVB5,
A.F6,Feeder,Admin lighting and power,250 A,400 V,MCCB,A.LVB6,
A.DB6,LV Busbar,Laboratory DB,160 A,400 V,MCCB,A.LVB6,
A.F61,Feeder,Lab benches,63 A,400 V,MCB,A.DB6,
A.F62,Feeder,Fume cupboards,32 A,400 V,MCB,A.DB6,
B.INC,MV Incomer,Utility 11 kV,,11 kV,,,
B.RMU,RMU,4-way RMU,630 A,11 kV,LBS,B.INC,
B.TXA,Transformer,"Pump MCC tx, Dyn11",1250 kVA,11/0.4 kV,Fuse-switch,B.RMU,dedicated to MCC
B.MCCA,MCC,Main pump MCC,2000 A,400 V,CB,B.TXA,
B.P1,Pump,Sewage pump 1,160 kW,400 V,,B.MCCA,VSD
B.P2,Pump,Sewage pump 2,160 kW,400 V,,B.MCCA,VSD
B.P3,Pump,Sewage pump 3,160 kW,400 V,,B.MCCA,
B.P4,Pump,Sewage pump 4,160 kW,400 V,,B.MCCA,Spare
B.P5,Pump,Storm pump 1,75 kW,400 V,Fused contactor,B.MCCA,
B.P6,Pump,Storm pump 2,75 kW,400 V,Fused contactor,B.MCCA,
B.FA,Feeder,MCC auxiliaries,63 A,400 V,MCB,B.MCCA,
B.TXB,Transformer,"Station tx, Dyn11",800 kVA,11/0.4 kV,Fuse-switch,B.RMU,
B.MSB,LV Busbar,Station MSB,1250 A,400 V,CB,B.TXB,
B.MCCP,MCC,Pump MCC (wash water),400 A,400 V,CB,B.MSB,
B.P7,Pump,Wash water pump 1,30 kW,400 V,,B.MCCP,
B.P8,Pump,Wash water pump 2,30 kW,400 V,,B.MCCP,VSD
B.MCCB,MCC,Blower MCC,630 A,400 V,CB,B.MSB,
B.B1,Pump,Aeration blower 1,110 kW,400 V,,B.MCCB,VSD
B.B2,Pump,Aeration blower 2,110 kW,400 V,,B.MCCB,VSD
B.B3,Pump,Aeration blower 3,110 kW,400 V,,B.MCCB,Spare
B.TXM,Transformer,Screen motor supply,75 kVA,0.4/0.3 kV,CB,B.MSB,
B.PM,Pump,Inlet screen motor,37 kW,300 V,,B.TXM,
B.TXL,Transformer,Lighting tx,100 kVA,0.4/0.23 kV,CB,B.MSB,
B.SB230,LV Busbar,230 V lighting board,250 A,230 V,CB,B.TXL,
B.FL1,Feeder,Station lighting,63 A,230 V,MCB,B.SB230,
B.FL2,Feeder,Sockets and heaters,63 A,230 V,MCB,B.SB230,
B.FL3,Feeder,Spare,32 A,230 V,MCB,B.SB230,Spare
B.F1,Feeder,Control room UPS,63 A,400 V,MCCB,B.MSB,
B.F2,Feeder,Odour control unit,160 A,400 V,MCCB,B.MSB,
C.INC,MV Incomer,Utility 11 kV incoming underground cable from the north,,11 kV,,,
C.RMU,RMU,3-way ring main unit in the intake substation building,630 A,11 kV,LBS,C.INC,
C.TX,Transformer,Oil-immersed transformer Dyn11 with off-load tap changer,1600 kVA,11/0.4 kV,Fuse-switch,C.RMU,
C.MSB,LV Busbar,"Main LV switchboard, Form 4 type 2, 2500 A copper busbars",2500 A,400 V,CB,C.TX,
C.F1,Feeder,Feeder to the process building distribution board,630 A,400 V,MCCB,C.MSB,
C.F2,Feeder,External lighting and gatehouse small power supplies,100 A,400 V,MCCB,C.MSB,
C.F3,Feeder,Spare way reserved for the future workshop extension,250 A,400 V,MCCB,C.MSB,Spare - future workshop
C.DB1,LV Busbar,"Process building distribution board, 630 A busbars",630 A,400 V,MCCB,C.F1,
C.F11,Feeder,Feeder to the first floor plant room sub-distribution board,250 A,400 V,MCCB,C.DB1,
C.F12,Feeder,Process building lighting and general purpose sockets,63 A,400 V,MCB,C.DB1,
C.F13,Feeder,"Heating, ventilation and air conditioning plant supplies",125 A,400 V,MCCB,C.DB1,
C.DB2,LV Busbar,"First floor plant room sub-distribution board, 250 A",250 A,400 V,MCCB,C.F11,
C.F21,Feeder,"Plant room lighting, sockets and trace heating circuits",32 A,400 V,MCB,C.DB2,
C.MCC,MCC,Plant room motor control centre for the circulation pumps,160 A,400 V,MCCB,C.DB2,
C.P1,Pump,"Primary circulation pump 1, duty, inverter driven",15 kW,400 V,,C.MCC,VSD
C.P2,Pump,"Primary circulation pump 2, standby, direct on line",15 kW,400 V,,C.MCC,
C.P3,Pump,"Secondary circulation pump, inverter driven",7.5 kW,400 V,,C.MCC,VSD
C.FM,Feeder,Motor control centre auxiliary and control supplies,16 A,400 V,MCB,C.MCC,
