ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility incomer A,,11 kV,,,
MV2,MV Incomer,Utility incomer B,,11 kV,,,
MVB1,MV Busbar,MV switchboard A,630 A,11 kV,CB,MV1,6 feeders to risers
MVB2,MV Busbar,MV switchboard B,630 A,11 kV,CB,MV2,6 feeders to risers
TIE1,Bus Coupler,MV bus tie,630 A,11 kV,CB,"MVB1, MVB2",Normally open
TX1,Transformer,"Riser R1, Dyn11",1600 kVA,11/0.4 kV,CB,MVB1,
TX2,Transformer,"Riser R2, Dyn11",1250 kVA,11/0.4 kV,CB,MVB1,
TX3,Transformer,"Riser R3, Dyn11",1000 kVA,11/0.4 kV,CB,MVB1,
P1,Pump,CHW pump 1,315 kW,11 kV,Fuse-contactor,MVB1,
P2,Pump,CHW pump 2,315 kW,11 kV,Fuse-contactor,MVB1,
P3,Pump,CW pump 1,160 kW,11 kV,Fuse-contactor,MVB1,
LVB1,LV Busbar,LV board R1,2500 A,400 V,CB,TX1,
MCC1,MCC,AHU plant,400 A,400 V,CB,LVB1,
MCC2,MCC,Pump room,400 A,400 V,CB,LVB1,
MCC3,MCC,Ventilation,250 A,400 V,CB,LVB1,
LVB2,LV Busbar,LV board R2,2000 A,400 V,CB,TX2,
MCC4,MCC,AHU plant,400 A,400 V,CB,LVB2,
MCC5,MCC,Ventilation,250 A,400 V,CB,LVB2,
LVB3,LV Busbar,LV board R3,1600 A,400 V,CB,TX3,
MCC6,MCC,AHU plant,400 A,400 V,CB,LVB3,
MCC7,MCC,Ventilation,250 A,400 V,CB,LVB3,
TX4,Transformer,"Riser R4, Dyn11",1600 kVA,11/0.4 kV,CB,MVB2,
TX5,Transformer,"Riser R5, Dyn11",1250 kVA,11/0.4 kV,CB,MVB2,
TX6,Transformer,"Riser R6, Dyn11",1000 kVA,11/0.4 kV,CB,MVB2,
P4,Pump,CHW pump 3,315 kW,11 kV,Fuse-contactor,MVB2,
P5,Pump,CHW pump 4,315 kW,11 kV,Fuse-contactor,MVB2,
P6,Pump,CW pump 2,160 kW,11 kV,Fuse-contactor,MVB2,
LVB4,LV Busbar,LV board R4,2500 A,400 V,CB,TX4,
MCC8,MCC,AHU plant,400 A,400 V,CB,LVB4,
MCC9,MCC,Pump room,400 A,400 V,CB,LVB4,
MCC10,MCC,Ventilation,250 A,400 V,CB,LVB4,
LVB5,LV Busbar,LV board R5,2000 A,400 V,CB,TX5,
MCC11,MCC,AHU plant,400 A,400 V,CB,LVB5,
MCC12,MCC,Ventilation,250 A,400 V,CB,LVB5,
LVB6,LV Busbar,LV board R6,1600 A,400 V,CB,TX6,
MCC13,MCC,AHU plant,400 A,400 V,CB,LVB6,
MCC14,MCC,Ventilation,250 A,400 V,CB,LVB6,
