ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility supply,,11 kV,,,
RMU1,RMU,"3-way RMU, main",630 A,11 kV,LBS,MV1,Feeds RMU2 and RMU3
RMU2,RMU,"3-way RMU, substation 2",630 A,11 kV,LBS,RMU1,
RMU3,RMU,"3-way RMU, substation 3",630 A,11 kV,LBS,RMU1,
TX1,Transformer,"Oil-immersed, Dyn11",1000 kVA,11/0.4 kV,Fuse-switch,RMU2,
TX2,Transformer,"Oil-immersed, Dyn11",1000 kVA,11/0.4 kV,Fuse-switch,RMU3,
LVP1,LV Busbar,LV panel 1,800 A,400 V,CB,TX1,
LVP2,LV Busbar,LV panel 2,800 A,400 V,CB,TX1,
LVP3,LV Busbar,LV panel 3,800 A,400 V,CB,TX2,
LVP4,LV Busbar,LV panel 4,800 A,400 V,CB,TX2,
F1,Feeder,Distribution board 1,250 A,400 V,CB,LVP1,
F2,Feeder,Spare,160 A,400 V,CB,LVP1,
F3,Feeder,Distribution board 2,250 A,400 V,CB,LVP2,
F4,Feeder,Spare,160 A,400 V,CB,LVP2,
F5,Feeder,Distribution board 3,250 A,400 V,CB,LVP3,
F6,Feeder,Spare,160 A,400 V,CB,LVP3,
F7,Feeder,Distribution board 4,250 A,400 V,CB,LVP4,
F8,Feeder,Spare,160 A,400 V,CB,LVP4,
