ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility supply,,11 kV,,,
R1,RMU,RMU 1,630 A,11 kV,LBS,MV1,
R2,RMU,RMU 2,630 A,11 kV,LBS,R1,
R3,RMU,RMU 3,630 A,11 kV,LBS,R2,
R4,RMU,RMU 4,630 A,11 kV,LBS,R3,
R5,RMU,RMU 5,630 A,11 kV,"LBS, LBS","R4, R1",Ring closed
TX1,Transformer,Substation 1,1000 kVA,11/0.4 kV,Fuse-switch,R1,
LV1,LV Busbar,LV panel 1,1600 A,400 V,CB,TX1,
F11,Feeder,Distribution board 1-1,250 A,400 V,CB,LV1,
F12,Feeder,Distribution board 1-2,250 A,400 V,CB,LV1,
TX2,Transformer,Substation 2,1000 kVA,11/0.4 kV,Fuse-switch,R2,
LV2,LV Busbar,LV panel 2,1600 A,400 V,CB,TX2,
F21,Feeder,Distribution board 2-1,250 A,400 V,CB,LV2,
F22,Feeder,Distribution board 2-2,250 A,400 V,CB,LV2,
TX3,Transformer,Substation 3,1000 kVA,11/0.4 kV,Fuse-switch,R3,
LV3,LV Busbar,LV panel 3,1600 A,400 V,CB,TX3,
F31,Feeder,Distribution board 3-1,250 A,400 V,CB,LV3,
F32,Feeder,Distribution board 3-2,250 A,400 V,CB,LV3,
TX4,Transformer,Substation 4,1000 kVA,11/0.4 kV,Fuse-switch,R4,
LV4,LV Busbar,LV panel 4,1600 A,400 V,CB,TX4,
F41,Feeder,Distribution board 4-1,250 A,400 V,CB,LV4,
F42,Feeder,Distribution board 4-2,250 A,400 V,CB,LV4,
TX5,Transformer,Substation 5,1000 kVA,11/0.4 kV,Fuse-switch,R5,
LV5,LV Busbar,LV panel 5,1600 A,400 V,CB,TX5,
F51,Feeder,Distribution board 5-1,250 A,400 V,CB,LV5,
F52,Feeder,Distribution board 5-2,250 A,400 V,CB,LV5,
MP1,Pump,MV motor on the ring,1.5 MW,11 kV,CB,R2,
CAP,Capacitor Bank,Power factor correction,1200 kvar,11 kV,CB,R3,
ARR,Surge Arrester,Line arrester,,11 kV,,R4,
