ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility supply,,11 kV,,,
R1,RMU,"Ring main unit, three-way extensible, at the north pumping station",630 A,11 kV,LBS,MV1,
TX1,Transformer,Substation 1,1000 kVA,11/0.4 kV,Fuse-switch,R1,
LV1,LV Busbar,LV panel 1,1600 A,400 V,CB,TX1,
F1,Feeder,Board,250 A,400 V,CB,LV1,
TX2,Transformer,Substation 2,1000 kVA,11/0.4 kV,Fuse-switch,R1,
LV2,LV Busbar,LV panel 2,1600 A,400 V,CB,TX2,
F2,Feeder,Board,250 A,400 V,CB,LV2,
TX3,Transformer,Substation 3,1000 kVA,11/0.4 kV,Fuse-switch,R1,
LV3,LV Busbar,LV panel 3,1600 A,400 V,CB,TX3,
F3,Feeder,Board,250 A,400 V,CB,LV3,
TX4,Transformer,Substation 4,1000 kVA,11/0.4 kV,Fuse-switch,R1,
LV4,LV Busbar,LV panel 4,1600 A,400 V,CB,TX4,
F4,Feeder,Board,250 A,400 V,CB,LV4,
C1,Capacitor Bank,Power factor correction bank,1200 kvar,11 kV,CB,R1,
A1,Surge Arrester,Line surge arrester,,11 kV,,R1,
