ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility,,11 kV,,,
MB,MV Busbar,Main board,1250 A,11 kV,"CB, CB","U, G1",
G1,Generator,MV genset,2 MVA,11 kV,,,
R1,RMU,Remote RMU,630 A,11 kV,"LBS, CB","MB, G2",
G2,Generator,RMU genset,800 kVA,11 kV,,,
T1,Transformer,Tx 1,1000 kVA,11/0.4 kV,Fuse-switch,R1,
L1,LV Busbar,LV 1,1600 A,400 V,CB,T1,
F1,Feeder,Feeder,250 A,400 V,CB,L1,
SB,MV Busbar,Sub board,630 A,11 kV,CB,MB,
G3,Generator,Genset 3,1 MVA,11 kV,,,
G4,Generator,Genset 4,1 MVA,11 kV,,,
CO,Bus Coupler,Changeover,,11 kV,CB,"SB, G3",
CO2,Bus Coupler,Changeover 2,,11 kV,CB,"SB, G4",
T2,Transformer,Tx 2,800 kVA,11/0.4 kV,CB,SB,
L2,LV Busbar,LV 2,1250 A,400 V,CB,T2,
F2,Feeder,Feeder,160 A,400 V,CB,L2,
