ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC,MV Incomer,Primary,,11 kV,,,
PB,MV Busbar,Primary board,1250 A,11 kV,CB,INC,
R1,RMU,RMU 1,630 A,11 kV,"CB, LBS","PB, R2",
R2,RMU,RMU 2,630 A,11 kV,"LBS, LBS","R1, R3",
R3,RMU,RMU 3,630 A,11 kV,"LBS, CB","R2, PB",N.O. towards R2
RS,RMU,Spur RMU,400 A,11 kV,LBS,R2,
T1,Transformer,Tx 1,800 kVA,11/0.4 kV,Fuse-switch,R1,
T2,Transformer,Tx 2,800 kVA,11/0.4 kV,Fuse-switch,R2,
T3,Transformer,Tx 3,800 kVA,11/0.4 kV,Fuse-switch,R3,
TS,Transformer,Spur tx,315 kVA,11/0.4 kV,Fuse-switch,RS,
L1,LV Busbar,LV 1,1250 A,400 V,CB,T1,
L2,LV Busbar,LV 2,1250 A,400 V,CB,T2,
L3,LV Busbar,LV 3,1250 A,400 V,CB,T3,
LS,LV Busbar,LV spur,500 A,400 V,CB,TS,
F1,Feeder,Feeder,250 A,400 V,CB,L1,
F2,Feeder,Feeder,250 A,400 V,CB,L2,Spare
F3,Feeder,Feeder,250 A,400 V,CB,L3,
FS,Feeder,Feeder,100 A,400 V,CB,LS,
