ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC,MV Incomer,Utility,,11 kV,,,
RMU,RMU,RMU,630 A,11 kV,LBS,INC,
T1,Transformer,Tx,1600 kVA,11/0.4 kV,Fuse-switch,RMU,
MSB,LV Busbar,Main board,2500 A,400 V,CB,T1,
F1,Feeder,DB feeder,400 A,400 V,MCCB,MSB,
DB1,LV Busbar,DB 1,400 A,400 V,MCCB,F1,
DB2,LV Busbar,DB 2,250 A,400 V,MCCB,F1,
F2,Feeder,Lights,63 A,400 V,MCB,MSB,
DB3,LV Busbar,DB 3,400 A,400 V,MCCB,MSB,
F11,Feeder,Lights 1,63 A,400 V,MCB,DB1,
F12,Feeder,Sub-DB feeder,100 A,400 V,MCB,DB1,
DB11,LV Busbar,Sub-DB 1.1,100 A,400 V,,F12,
F111,Feeder,Sockets,32 A,400 V,MCB,DB11,
F21,Feeder,Lights 2,63 A,400 V,MCB,DB2,
M1,Pump,DB pump,15 kW,400 V,Contactor,DB2,VSD
MCC1,MCC,Plant MCC,,400 V,CB,DB3,
G1,Generator,DB genset,200 kVA,400 V,CB,,
ATS,Bus Coupler,ATS,,400 V,CB,"DB3, G1",changeover
TIE,Bus Coupler,DB tie,,400 V,CB,"DB2, DB3",Normally open
