ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC,MV Incomer,Utility,,11 kV,,,
RMU,RMU,RMU,630 A,11 kV,LBS,INC,
TX1,Transformer,Main tx,1000 kVA,11/0.4 kV,Fuse-switch,RMU,
MSB,LV Busbar,Main board,1600 A,400 V,CB,TX1,
F1,Feeder,Lighting,100 A,400 V,CB,MSB,
F2,Feeder,Spare,63 A,400 V,MCB,MSB,Spare
M1,Pump,Direct motor,90 kW,400 V,CB,TX1,
MCC1,MCC,Pump MCC,400 A,400 V,CB,TX1,
P1,Pump,Pump 1,30 kW,400 V,,MCC1,
P2,Pump,Pump 2,30 kW,400 V,,MCC1,VSD
TX2,Transformer,Station tx,400 kVA,11/0.4 kV,Fuse-switch,RMU,
MCC2,MCC,Station MCC,630 A,400 V,CB,TX2,
P3,Pump,Blower,22 kW,400 V,,MCC2,
F3,Feeder,Station aux,32 A,400 V,MCB,MCC2,
