ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility,,11 kV,,,
GA,Generator,Gen A,2 MVA,400 V,,,
GBA,LV Busbar,Gen board A,3200 A,400 V,CB,GA,
SUA,Transformer,Step-up A (above),2.5 MVA,0.4/11 kV,CB,GBA,
MV,MV Busbar,11 kV board,1250 A,11 kV,"CB, CB","U, SUA",
T1,Transformer,Dist tx,1600 kVA,11/0.4 kV,CB,MV,
LV,LV Busbar,LV board,2500 A,400 V,CB,T1,
F1,Feeder,Feeder,250 A,400 V,CB,LV,
SUB,Transformer,Step-up B (below),2 MVA,0.4/11 kV,CB,MV,
GB,Generator,Gen B,2 MVA,400 V,CB,SUB,
