ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility,,11 kV,,,
MV,MV Busbar,11 kV board,1250 A,11 kV,CB,U,
PT,Transformer,Pump tx,4 MVA,11/3.3 kV,CB,MV,
PB,MV Busbar,3.3 kV pump board,800 A,3.3 kV,CB,PT,
P1,Pump,Pump 1,630 kW,3.3 kV,Fuse-contactor,PB,
P2,Pump,Pump 2,630 kW,3.3 kV,Fuse-contactor,PB,
P3,Pump,Pump 3,630 kW,3.3 kV,Fuse-contactor,PB,
T1,Transformer,Station tx,1000 kVA,11/0.4 kV,CB,MV,
LV,LV Busbar,Station LV,1600 A,400 V,CB,T1,
F1,Feeder,Aux,250 A,400 V,CB,LV,
