ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility (export),,33 kV,,,
HV,MV Busbar,33 kV export board,630 A,33 kV,"CB, CB","U, ET",
ET,Transformer,Export tx,20 MVA,11/33 kV,CB,MV,
MV,MV Busbar,11 kV collector board,1250 A,11 kV,"CB, CB","SU1, SU2",
PV1,Generator,PV block 1,2.5 MW,400 V,,,
PV2,Generator,PV block 2,2.5 MW,400 V,,,
PVB1,LV Busbar,PV AC board 1,4000 A,400 V,CB,PV1,
PVB2,LV Busbar,PV AC board 2,4000 A,400 V,CB,PV2,
SU1,Transformer,Step-up 1,3 MVA,0.4/11 kV,CB,PVB1,
SU2,Transformer,Step-up 2,3 MVA,0.4/11 kV,CB,PVB2,
AT,Transformer,Aux tx,250 kVA,11/0.4 kV,CB,MV,
AUX,LV Busbar,Aux board,400 A,400 V,CB,AT,
FA,Feeder,Site services,100 A,400 V,CB,AUX,
