ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility,,33 kV,,,
HV,MV Busbar,33 kV board,630 A,33 kV,CB,U,
GT,Transformer,Grid tx,10 MVA,33/11 kV,CB,HV,
MV,MV Busbar,11 kV board,1250 A,11 kV,CB,GT,
PT,Transformer,Pump tx,4 MVA,11/3.3 kV,CB,MV,
PB,MV Busbar,3.3 kV board,800 A,3.3 kV,CB,PT,
P1,Pump,Pump 1,630 kW,3.3 kV,Fuse-contactor,PB,
P2,Pump,Pump 2,630 kW,3.3 kV,Fuse-contactor,PB,
T1,Transformer,Dist tx,1600 kVA,11/0.4 kV,CB,MV,
LV1,LV Busbar,LV board 1,2500 A,400 V,CB,T1,
F1,Feeder,Feeder,250 A,400 V,CB,LV1,
T2,Transformer,Pump aux tx,250 kVA,3.3/0.4 kV,CB,PB,
LV2,LV Busbar,Pump aux LV,400 A,400 V,CB,T2,
F2,Feeder,Aux,100 A,400 V,CB,LV2,
