ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U,MV Incomer,Utility,,11 kV,,,
MV,MV Busbar,11 kV main,1250 A,11 kV,CB,U,
SUB,MV Busbar,11 kV sub-board,630 A,11 kV,CB,MV,
T1,Transformer,Sub tx,1000 kVA,11/0.4 kV,CB,SUB,
LV1,LV Busbar,Sub LV,1600 A,400 V,CB,T1,
F1,Feeder,Feeder,250 A,400 V,CB,LV1,
PT,Transformer,Pump tx,4 MVA,11/3.3 kV,CB,MV,
PB,MV Busbar,3.3 kV board,800 A,3.3 kV,CB,PT,
P1,Pump,Pump 1,630 kW,3.3 kV,Fuse-contactor,PB,
T2,Transformer,Main tx,1600 kVA,11/0.4 kV,CB,MV,
LV2,LV Busbar,Main LV,2500 A,400 V,CB,T2,
F2,Feeder,Feeder,250 A,400 V,CB,LV2,
