ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC1,MV Incomer,Utility incomer B,,11 kV,,,
MVB1,MV Busbar,11 kV switchboard,1250 A,11 kV,CB,INC1,
TX1,Transformer,Main tx,500 kVA,11/0.4 kV,CB,MVB1,
MSB1,LV Busbar,HL pump MSB,1000 A,400 V,ACB,TX1,
F1,Feeder,Chemical building DB,63 A,400 V,CB,MSB1,
F2,Feeder,Backwash valves,250 A,400 V,CB,MSB1,
F3,Feeder,Backwash valves 2,160 A,400 V,CB,MSB1,
F4,Feeder,Spare,160 A,400 V,CB,MSB1,Spare
P1,Pump,CHW pump 1,110 kW,400 V,CB,MSB1,
F5,Feeder,Intake lighting,100 A,400 V,MCB,MSB1,
F6,Feeder,Small power,250 A,400 V,MCCB,MSB1,
F7,Feeder,Backwash valves 3,63 A,400 V,MCB,MSB1,
F8,Feeder,Filter gallery DB,32 A,400 V,CB,MSB1,
F9,Feeder,Chemical building DB 2,100 A,400 V,CB,MSB1,
F10,Feeder,Sockets east,63 A,400 V,MCCB,MSB1,
F11,Feeder,Gallery lighting,630 A,400 V,MCCB,MSB1,
