ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility 11 kV,,11 kV,,,
MVB1,MV Busbar,11 kV board A,1250 A,11 kV,CB,MV1,
TX1,Transformer,"Chemical tx, Dyn11",1000 kVA,11/0.4 kV,CB,MVB1,
BB1,LV Busbar,LV board R1,1600 A,400 V,CB,TX1,
F1,Feeder,Intake lighting,32 A,400 V,MCB,BB1,
F2,Feeder,Spare,100 A,400 V,MCCB,BB1,Spare
F3,Feeder,Gallery lighting,63 A,400 V,MCCB,BB1,
F4,Feeder,Spare 2,32 A,400 V,CB,BB1,
F5,Feeder,Spare 3,160 A,400 V,CB,BB1,
MCC1,MCC,Backwash MCC,250 A,400 V,CB,BB1,
P1,Pump,Borehole pump 1,110 kW,400 V,Contactor,MCC1,
P2,Pump,CHW pump 2,55 kW,400 V,,MCC1,
P3,Pump,Sludge pump 3,37 kW,400 V,CB,MCC1,
MCC2,MCC,Main pump MCC,400 A,400 V,CB,BB1,
P4,Pump,HL pump 1,45 kW,400 V,Fused contactor,MCC2,
P5,Pump,Blower 2,37 kW,400 V,Contactor,MCC2,
P6,Pump,Blower 3,15 kW,400 V,Fused contactor,MCC2,
P7,Pump,Borehole pump 4,11 kW,400 V,Contactor,MCC2,VSD
P8,Pump,Backwash pump 5,37 kW,400 V,,MCC2,
F6,Feeder,Export cable,400 A,11 kV,CB,MVB1,
