ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility 11 kV,,11 kV,,,
RMU1,RMU,RMU 1 (farm),400 A,11 kV,"LBS, LBS","MV1, RMU3",
RMU2,RMU,RMU 2 (reservoir),630 A,11 kV,"LBS, LBS","RMU1, RMU3",
RMU3,RMU,RMU 3 (village),630 A,11 kV,"LBS, LBS","RMU2, RMU1",N.O. towards RMU1
TX1,Transformer,"Intake tx, Dyn11",1000 kVA,11/0.4 kV,Fuse-switch,RMU1,
BB1,LV Busbar,LV board R1,1600 A,400 V,CB,TX1,
F1,Feeder,Workshop DB,250 A,400 V,MCCB,BB1,
F2,Feeder,HVAC,63 A,400 V,MCB,BB1,
F3,Feeder,Backwash valves,63 A,400 V,CB,BB1,
F4,Feeder,Sockets east,400 A,400 V,CB,BB1,
F5,Feeder,Backwash valves 2,250 A,400 V,CB,BB1,
P1,Pump,Sludge pump 1,22 kW,400 V,Contactor,BB1,
TX2,Transformer,"Sludge tx, Dyn11",1600 kVA,11/0.4 kV,Fuse-switch,RMU2,
BB2,LV Busbar,Main LV board,2500 A,400 V,CB,TX2,
F6,Feeder,Spare,63 A,400 V,CB,BB2,Spare
F7,Feeder,Spare 2,63 A,400 V,CB,BB2,
F8,Feeder,Small power,250 A,400 V,CB,BB2,
F9,Feeder,Spare 3,400 A,400 V,CB,BB2,
SA1,Surge Arrester,LV SPD,,400 V,,BB2,
TX3,Transformer,"Riser R2, Dyn11",500 kVA,11/0.4 kV,Fuse-switch,RMU3,
BB3,LV Busbar,Intake MSB,1000 A,400 V,CB,TX3,
F10,Feeder,Spare 4,63 A,400 V,MCCB,BB3,
F11,Feeder,Filter gallery DB,100 A,400 V,CB,BB3,
