ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
INC,MV Incomer,Primary substation,,11 kV,,,
PB,MV Busbar,Primary 11 kV board,1250 A,11 kV,CB,INC,
R1,RMU,RMU 1,630 A,11 kV,"CB, LBS","PB, R2",
R2,RMU,RMU 2,630 A,11 kV,"LBS, LBS","R1, R3",
R3,RMU,RMU 3 (N.O.),630 A,11 kV,"LBS, LBS","R2, R4",ring open here
R4,RMU,RMU 4,630 A,11 kV,"LBS, LBS","R3, R5",
R5,RMU,RMU 5,630 A,11 kV,"LBS, CB","R4, PB",
R41,RMU,RMU 4a (sub-ring),400 A,11 kV,"LBS, LBS","R4, R42",
R42,RMU,RMU 4b (sub-ring),400 A,11 kV,"LBS, LBS","R41, R4",
T1,Transformer,Tx 1,800 kVA,11/0.4 kV,Fuse-switch,R1,
T2,Transformer,Tx 2,800 kVA,11/0.4 kV,Fuse-switch,R2,
T3,Transformer,Tx 3,500 kVA,11/0.4 kV,Fuse-switch,R3,
T4,Transformer,Tx 4,1000 kVA,11/0.4 kV,Fuse-switch,R4,
T5,Transformer,Tx 5,800 kVA,11/0.4 kV,Fuse-switch,R5,
T41,Transformer,Tx 4a,315 kVA,11/0.4 kV,Fuse-switch,R41,
T42,Transformer,Tx 4b,315 kVA,11/0.4 kV,Fuse-switch,R42,
L1,LV Busbar,LV 1,1250 A,400 V,CB,T1,
L2,LV Busbar,LV 2,1250 A,400 V,CB,T2,
L3,LV Busbar,LV 3,800 A,400 V,CB,T3,
L4,LV Busbar,LV 4,1600 A,400 V,CB,T4,
L5,LV Busbar,LV 5,1250 A,400 V,CB,T5,
L41,LV Busbar,LV 4a,500 A,400 V,CB,T41,
L42,LV Busbar,LV 4b,500 A,400 V,CB,T42,
XT,Bus Coupler,LV1-LV2 cross-tie,,400 V,CB,"L1, L2","Normally open, 300 m cable"
F1,Feeder,Feeder,250 A,400 V,CB,L1,
F2,Feeder,Feeder,250 A,400 V,CB,L2,
F3,Feeder,Feeder,160 A,400 V,CB,L3,
F4,Feeder,Feeder,400 A,400 V,CB,L4,
F5,Feeder,Feeder,250 A,400 V,CB,L5,
F41,Feeder,Feeder,100 A,400 V,CB,L41,
F42,Feeder,Feeder,100 A,400 V,CB,L42,
