ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U1,MV Incomer,Utility,,11 kV,,,
T1,Transformer,Main,1000 kVA,11/0.4 kV,,U1,
MSB,LV Busbar,Main board,1600 A,400 V,"CB, CB","T1, INV1",
INV1,Inverter,Rooftop PV inverter,100 kW,400 V,,,
UPS1,UPS,Server room UPS,200 kVA,400/400 V,CB,MSB,
UPSO,LV Busbar,UPS output board,400 A,400 V,CB,UPS1,
F1,Feeder,Servers A,100 A,400 V,CB,UPSO,
F2,Feeder,Servers B,100 A,400 V,CB,UPSO,
FCH,Feeder,Battery charger,63 A,400 V,CB,MSB,
BAT1,Battery,Station battery 110 V,200 Ah,110 V DC,,,
DCB,DC Busbar,110 V DC distribution,,110 V DC,"CB, MCB","FCH, BAT1",
F3,Feeder,Protection relays,32 A,110 V DC,MCB,DCB,
F4,Feeder,Telecoms,16 A,110 V DC,MCB,DCB,
F5,Feeder,General,250 A,400 V,CB,MSB,
