ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U1,MV Incomer,Grid 132 kV,,132 kV,,,
EHV,MV Busbar,132 kV board,,132 kV,CB,U1,
T1,Transformer,132/33,60 MVA,132/33 kV,CB,EHV,
HV,MV Busbar,33 kV board,,33 kV,CB,T1,
T2,Transformer,33/11,20 MVA,33/11 kV,CB,HV,
MV,MV Busbar,11 kV board,,11 kV,CB,T2,
T3,Transformer,11/3.3,5 MVA,11/3.3 kV,CB,MV,
PB,MV Busbar,3.3 kV pump board,,3.3 kV,CB,T3,
P1,Pump,Raw water pump,1.2 MW,3.3 kV,Fuse-contactor,PB,
T4,Transformer,11/0.4,1000 kVA,11/0.4 kV,CB,MV,
MSB,LV Busbar,Main LV board,1600 A,400 V,CB,T4,
F1,Feeder,To DB1,250 A,400 V,CB,MSB,
DB1,LV Busbar,Distribution board 1,250 A,400 V,MCCB,F1,
F2,Feeder,To DB2,100 A,400 V,MCCB,DB1,
DB2,LV Busbar,Sub-distribution board,100 A,400 V,MCCB,F2,
F3,Feeder,Lighting,32 A,400 V,MCB,DB2,
F4,Feeder,Small power,32 A,400 V,MCB,DB2,
