ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility,,11 kV,,,
TX1,Transformer,Substation,1000 kVA,11/0.4 kV,Fuse-switch,MV1,
MSB,LV Busbar,Main board,1600 A,400 V,CB,TX1,
F1,Feeder,Way to the pump,55 A,400 V,,MSB,
P1,Pump,Raw water pump,37 kW,400 V,Contactor,F1,
F2,Feeder,Way to the motor room,100 A,400 V,MCCB,MSB,
M1,MCC,Motor room,250 A,400 V,CB,F2,
F3,Feeder,Way to the annexe,160 A,400 V,MCCB,MSB,
DB1,LV Busbar,Annexe board,250 A,400 V,MCCB,F3,
F4,Feeder,Spare way,63 A,400 V,,MSB,
F5,Feeder,Lighting,32 A,400 V,MCB,MSB,
