ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U1,MV Incomer,Utility,,33 kV,,,
HV,MV Busbar,33 kV board,1250 A,33 kV,CB,U1,
TA,Transformer,Grid A,20 MVA,33/11 kV,CB,HV,
TB,Transformer,Grid B,20 MVA,33/11 kV,CB,HV,
MA,MV Busbar,11 kV board A,2000 A,11 kV,CB,TA,
MB,MV Busbar,11 kV board B,2000 A,11 kV,CB,TB,
MC,MV Busbar,11 kV board C — fed from both A and B,1250 A,11 kV,"CB, CB","MA, MB",
TAB,Bus Coupler,Tie A-B,2000 A,11 kV,CB,"MA, MB",Normally open
TC1,Transformer,Sub C1,1000 kVA,11/0.4 kV,CB,MC,
LC1,LV Busbar,Board C1,1600 A,400 V,CB,TC1,
FC1,Feeder,Load,400 A,400 V,CB,LC1,
