ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
U1,MV Incomer,Utility,,11 kV,,,
RMU1,RMU,4-way RMU,630 A,11 kV,LBS,U1,
T1,Transformer,Unit 1,1000 kVA,11/0.4 kV,Fuse-switch,RMU1,
T2,Transformer,Unit 2,1000 kVA,11/0.4 kV,Fuse-switch,RMU1,
T3,Transformer,Unit 3,1000 kVA,11/0.4 kV,Fuse-switch,RMU1,
MSB,LV Busbar,Main board — three transformers in parallel,4000 A,400 V,"CB, CB, CB","T1, T2, T3",
F1,Feeder,Process,800 A,400 V,CB,MSB,
F2,Feeder,Utilities,630 A,400 V,CB,MSB,
F3,Feeder,Offices,400 A,400 V,CB,MSB,
F4,Feeder,Spare,400 A,400 V,CB,MSB,Spare
