ID,Type,Description,Rating,Voltage,Protection,Feeds From,Notes
MV1,MV Incomer,Utility,,11 kV,,,
MVB,MV Busbar,MV board,,11 kV,CB,MV1,
RMU1,RMU,Ring unit A,,11 kV,LBS,MV1,
RMU2,RMU,Ring unit B,,11 kV,LBS,RMU1,
TX1,Transformer,A,1000 kVA,11/0.4 kV,,MVB,
TX2,Transformer,B,1000 kVA,11/0.4 kV,,MVB,
BB1,LV Busbar,Board A,,400 V,CB,TX1,
BB2,LV Busbar,Board B,,400 V,CB,TX2,
G1,Generator,Standby set,500 kVA,400 V,,,
BC1,Bus Coupler,Good tie,,400 V,CB,"BB1, BB2",
BC2,Bus Coupler,Third supply named,,400 V,CB,"BB1, BB2, TX1",
BC3,Bus Coupler,MV tied to LV,,400 V,CB,"BB1, MVB",
BC4,Bus Coupler,RMU to RMU,,11 kV,CB,"RMU1, RMU2",
BC5,Bus Coupler,Changeover with no board,,400 V,CB,G1,
